subject,condition,session,Accuracy1,Accuracy2
1,Individuals,1,0.81359375,1
1,Individuals,2,0.77309375,0.875
1,Individuals,3,0.68475,0.5
2,Individuals,1,0.636375,0.625
2,Individuals,2,0.61453125,0.75
2,Individuals,3,0.50990625,0.375
3,Individuals,1,0.75275,1
3,Individuals,2,0.70840625,0.625
3,Individuals,3,0.6096875,0.5
4,Individuals,1,0.93246875,1
4,Individuals,2,0.914125,1
4,Individuals,3,0.8894375,1
5,Individuals,1,0.67325,0.75
5,Individuals,2,0.64709375,0.625
5,Individuals,3,0.5464687500000001,0.5
6,Individuals,1,0.8645,1
6,Individuals,2,0.83040625,0.875
6,Individuals,3,0.7737499999999999,0.75
7,Individuals,1,0.48859375,0.5
7,Individuals,2,0.4805,0.5
7,Individuals,3,0.37071875,0.25
8,Individuals,1,0.73034375,0.75
8,Individuals,2,0.71009375,0.75
8,Individuals,3,0.627375,0.625
9,Individuals,1,0.85271875,0.75
9,Individuals,2,0.833125,1
9,Individuals,3,0.78846875,0.875
10,Individuals,1,0.29321875,0.25
10,Individuals,2,0.3029375,0.25
10,Individuals,3,0.2230625,0.125
11,Individuals,1,0.7330625,0.75
11,Individuals,2,0.7056875,0.75
11,Individuals,3,0.6233125,0.625
12,Individuals,1,0.7967500000000001,0.75
12,Individuals,2,0.76909375,0.875
12,Individuals,3,0.7088125,0.75
13,Individuals,1,0.73315625,0.75
13,Individuals,2,0.70571875,0.75
13,Individuals,3,0.62465625,0.625
14,Individuals,1,0.30325,0.125
14,Individuals,2,0.339375,0.125
14,Individuals,3,0.27025,0.5
15,Individuals,1,0.75159375,1
15,Individuals,2,0.70815625,0.625
15,Individuals,3,0.6095625,0.5
16,Individuals,1,0.5248437499999999,0.25
16,Individuals,2,0.5440625,0.625
16,Individuals,3,0.4710625,0.625
17,Individuals,1,0.7641249999999999,0.875
17,Individuals,2,0.7335,0.625
17,Individuals,3,0.6661875,0.75
18,Individuals,1,0.58196875,0.5
18,Individuals,2,0.5779375,0.625
18,Individuals,3,0.48865625,0.5
19,Individuals,1,0.66796875,0.625
19,Individuals,2,0.64971875,0.75
19,Individuals,3,0.55378125,0.5
20,Individuals,1,0.5145625,0.375
20,Individuals,2,0.512875,0.625
20,Individuals,3,0.41421874999999997,0.375
21,Individuals,1,0.809,1
21,Individuals,2,0.76696875,0.625
21,Individuals,3,0.70303125,0.75
22,Individuals,1,0.3194375,0.125
22,Individuals,2,0.33828125,0.375
22,Individuals,3,0.2613125,0.25
23,Individuals,1,0.51884375,0.625
23,Individuals,2,0.50896875,0.25
23,Individuals,3,0.41425,0.5
24,Individuals,1,0.43115625,0.375
24,Individuals,2,0.440125,0.25
24,Individuals,3,0.3630625,0.5
25,Individuals,1,0.5655625,0.5
25,Individuals,2,0.545,0.75
25,Individuals,3,0.4348125,0.25
26,Individuals,1,0.45915625,0.25
26,Individuals,2,0.4729375,0.5
26,Individuals,3,0.39753125,0.5
27,Individuals,1,0.44809375,0.5
27,Individuals,2,0.440625,0.375
27,Individuals,3,0.335375,0.25
31,Dyads,1,0.48075,0.25
31,Dyads,2,0.862,1
31,Dyads,3,0.90765625,1
32,Dyads,1,0.48925,0.5
32,Dyads,2,0.4546875,0.25
32,Dyads,3,0.39815625,0.5
33,Dyads,1,0.74346875,0.75
33,Dyads,2,0.7918125,0.875
33,Dyads,3,0.7724375,0.75
34,Dyads,1,0.7905,0.875
34,Dyads,2,0.7268125,0.75
34,Dyads,3,0.6635625,0.625
35,Dyads,1,0.38715625,0.25
35,Dyads,2,0.40984375,0.5
35,Dyads,3,0.361625,0.25
36,Dyads,1,0.4335625,0.25
36,Dyads,2,0.6836875,0.75
36,Dyads,3,0.71846875,0.75
37,Dyads,1,0.36959375,0.25
37,Dyads,2,0.4189375,0.375
37,Dyads,3,0.38109375,0.375
38,Dyads,1,0.4395,0.375
38,Dyads,2,0.4805,0.375
38,Dyads,3,0.44203125,0.5
39,Dyads,1,0.8258125000000001,1
39,Dyads,2,0.66296875,0.625
39,Dyads,3,0.5448125,0.5
40,Dyads,1,0.66996875,0.625
40,Dyads,2,0.7735,0.875
40,Dyads,3,0.76728125,0.75
41,Dyads,1,0.447125,0.375
41,Dyads,2,0.5270312500000001,0.375
41,Dyads,3,0.5084375,0.625
42,Dyads,1,0.7855625,0.875
42,Dyads,2,0.68390625,0.75
42,Dyads,3,0.59690625,0.5
44,Dyads,1,0.804375,0.875
44,Dyads,2,0.7678125,0.875
44,Dyads,3,0.7133437499999999,0.625
45,Dyads,1,0.8383125,0.875
45,Dyads,2,0.9263125,1
45,Dyads,3,0.9294687500000001,1
46,Dyads,1,0.8320625,1
46,Dyads,2,0.75665625,0.625
46,Dyads,3,0.68040625,0.75
47,Dyads,1,0.69921875,0.75
47,Dyads,2,0.66640625,0.625
47,Dyads,3,0.613625,0.625
48,Dyads,1,0.8273125,1
48,Dyads,2,0.6661874999999999,0.625
48,Dyads,3,0.55021875,0.5
49,Dyads,1,0.63034375,0.625
49,Dyads,2,0.55865625,0.625
49,Dyads,3,0.474875,0.375
50,Dyads,1,0.44146875,0.375
50,Dyads,2,0.43474999999999997,0.375
50,Dyads,3,0.3784375,0.375
51,Dyads,1,0.695375,0.75
51,Dyads,2,0.5755,0.625
51,Dyads,3,0.47153125,0.375
52,Dyads,1,0.60190625,0.5
52,Dyads,2,0.80453125,0.875
52,Dyads,3,0.82515625,0.875
53,Dyads,1,0.6538125,0.75
53,Dyads,2,0.39228125,0.375
53,Dyads,3,0.26375,0.125
54,Dyads,1,0.86340625,1
54,Dyads,2,0.8305625,0.875
54,Dyads,3,0.78065625,0.75
55,Dyads,1,0.38990625,0.25
55,Dyads,2,0.59628125,0.5
55,Dyads,3,0.62165625,0.75
56,Dyads,1,0.84215625,0.875
56,Dyads,2,0.92734375,1
56,Dyads,3,0.929,1
